id,week,date,difficulty,enjoy,week_std
Sock man,3,2023-02-10,0.1522374694,0.9651411851,-0.7210205171501451
Sock man,4,2023-02-17,0.09838784985,0.9199161208,-0.273353932326154
Sock man,5,2023-02-24,0.07019032692999999,0.8131530282,0.17431265249783714
Sock man,6,2023-03-03,0.047889992039999996,0.8445884628,0.6219792373218282
Sock man,7,2023-03-24,0.08974808715,0.927844389,1.0696458221458194
Sock man,8,2023-04-07,0.05679241394,0.98855906,1.5173124069698105
Sophia,2,2023-02-02,0.5401978973,0.5618429189999999,-1.1686871019741363
Yahaira Smith,8,2023-04-07,0.1986516531,0.7135135153000001,1.5173124069698105
coolcat123,2,2023-02-02,0.362034984,0.662601626,-1.1686871019741363
coolcat123,4,2023-02-17,0.7844774273,0.4814471243,-0.273353932326154
coolcat123,5,2023-02-24,0.233044733,0.806122449,0.17431265249783714
coolcat123,6,2023-03-03,0.28458049890000003,0.8968253968000001,0.6219792373218282
coolcat123,7,2023-03-24,0.3804370233,0.4969078541,1.0696458221458194
dumbbunny,1,2023-01-28,0.196712678,0.7213575917999999,-1.6163536867981274
dumbbunny,3,2023-02-10,0.2670583385,0.7257266543,-0.7210205171501451
dumbbunny,4,2023-02-17,0.2196454339,0.6247165533,-0.273353932326154
dumbbunny,5,2023-02-24,0.3969284684,0.3350855494,0.17431265249783714
dumbbunny,6,2023-03-03,0.32499035489999994,0.524800961,0.6219792373218282
dumbbunny,7,2023-03-24,0.164873151,0.4910129671,1.0696458221458194
dumbbunny,8,2023-04-07,0.26396619250000003,0.3536384251,1.5173124069698105
jerseygirl999,4,2023-02-17,0.37631416199999995,0.6288394146,-0.273353932326154
jerseygirl999,5,2023-02-24,0.3670377242,0.7164502165000001,0.17431265249783714
jerseygirl999,6,2023-03-03,0.18126385809999998,0.6739960581,0.6219792373218282
jerseygirl999,7,2023-03-24,0.2691197691,0.6071943929,1.0696458221458194
jerseygirl999,8,2023-04-07,0.2732426304,0.3515769944,1.5173124069698105
lavagirl,1,2023-01-28,0.3352758353,0.6802641803,-1.6163536867981274
lavagirl,2,2023-02-02,0.30828695110000004,0.8091019484,-1.1686871019741363
lavagirl,3,2023-02-10,0.2904975683,0.8067714179,-0.7210205171501451
lavagirl,4,2023-02-17,0.4476243921,0.7992891882000001,-0.273353932326154
lavagirl,5,2023-02-24,0.3956228956,0.6806958474,0.17431265249783714
lavagirl,6,2023-03-03,0.2699214366,0.8164983164999999,0.6219792373218282
lavagirl,7,2023-03-24,0.06004489338,0.9377104377000001,1.0696458221458194
mcchicken,2,2023-02-02,0.5101010101,0.6560044893,-1.1686871019741363
mcchicken,3,2023-02-10,0.48540965210000003,0.5819304153,-0.7210205171501451
mcchicken,4,2023-02-17,0.6548821549,0.7065095398,-0.273353932326154
mcchicken,5,2023-02-24,0.25084175080000004,0.7884399551,0.17431265249783714
mcchicken,6,2023-03-03,0.5067340067,0.6829405163,0.6219792373218282
mcchicken,7,2023-03-24,0.33613916949999995,0.5987654321,1.0696458221458194
mcchicken,8,2023-04-07,0.3832772166,0.4595959596,1.5173124069698105
savethebears,2,2023-02-02,0.38662131520000004,0.6731601732,-1.1686871019741363
savethebears,3,2023-02-10,0.6032240811,0.3484410073,-0.7210205171501451
savethebears,4,2023-02-17,0.595556257,0.5168613215,-0.273353932326154
savethebears,5,2023-02-24,0.3030434554,1,0.17431265249783714
savethebears,6,2023-03-03,0.4546243687,0.7094293630999999,0.6219792373218282
savethebears,7,2023-03-24,0.38146773860000005,0.58142651,1.0696458221458194
taylorsversion,2,2023-02-02,0.23737373739999998,0.7491582492000001,-1.1686871019741363
taylorsversion,3,2023-02-10,0.30770178730000003,0.8716865651000001,-0.7210205171501451
taylorsversion,4,2023-02-17,0.5742997950000001,0.6852792356,-0.273353932326154
taylorsversion,5,2023-02-24,0.33839993630000004,0.9759528335000001,0.17431265249783714
taylorsversion,7,2023-03-24,0.22135252260000002,0.7470468848999999,1.0696458221458194
taylorsversion,8,2023-04-07,0.22659062,0.9856507786,1.5173124069698105
